"item_id","customerid","serialno"
"62e3c5c6e8e6a76fac2c6b7b","62ea8a33a636f05def60688a",6
"62e3c5c6e8e6a77cbb2c6b82","63296ab92288e00366df9f7b",7
"62e3c5c6e8e6a708262c6b88","62db88ce9670f2007f78a939",8
"62e514e4e8e6a7bb242c7f1b","632046856e5b84f81e625d09",9
"62e5297ae8e6a7c0da2c7f25","62dca818ec764396e6c3be21",10
"6311ed82a25b626773f7ad12","628cb023c3ccbfbb1d5f410e",11
"631882c7a25b623951f7dd98","628cb023c3ccbfbb1d5f410e",12
"63295ef6e176fb05a1db6ac4","6295c22bacf828490b7c64e7",13
"63299320e176fb073bdb6e98","62d7e395ec76434350c3b45c",14
"63299321e176fbc67cdb6ea2","62d7e395ec76434350c3b45c",15
"63299321e176fb410adb6eb7","62d7e395ec76434350c3b45c",16
"63299321e176fb14b4db6ebc","62d7e395ec76434350c3b45c",17
"63299321e176fb6b73db6eb9","62d7e395ec76434350c3b45c",18
"63299321e176fb7452db6ec3","62d7e395ec76434350c3b45c",19
"63299322e176fb90b3db6ed2","62d7e395ec76434350c3b45c",20
"6285e2eb4b367740a387530d","62d7e395ec76434350c3b45c",21
"62876b4d2ed2444c958546cf","62d7e395ec76434350c3b45c",22
"62876b4d2ed2440aeb8546d0","62d7e395ec76434350c3b45c",23
"62bbdf8f866daf5bfc88f3ec","62d7e395ec76434350c3b45c",24
"631882c7a25b62db4ef7dd9f","62d7e395ec76434350c3b45c",25
"631882c7a25b62987ef7dda2","62d7e395ec76434350c3b45c",26
"631882c7a25b62224df7dda7","62d7e395ec76434350c3b45c",27
"631882c7a25b62cf22f7dda9","62d7e395ec76434350c3b45c",28
"631882c7a25b6218d9f7ddb2","62d7e395ec76434350c3b45c",29
"63295ef6e176fbd3fadb6ac5","62d7e395ec76434350c3b45c",30
"63299321e176fb067bdb6ea1","62d7e395ec76434350c3b45c",31
"63299321e176fb08fedb6ea0","62a2dbbaacf828cfb57c7917",32
"63299321e176fb36b9db6eb0","6295c22bacf828490b7c64e7",33
"63299321e176fb2e29db6eaa","62a2dbbaacf828cfb57c7917",34
"63299321e176fb06b0db6eba","62a2dbbaacf828cfb57c7917",35
"63299321e176fb0e48db6ebf","628cb023c3ccbfbb1d5f410e",36
"63299321e176fb0a2adb6ebe","631dddfd6e5b84aec461ffc9",37
"62b46e84866daf93d0887323","634c27bec4fba0693722ff72",38
"62bad3cb866daf469c88ea8c","634c27bec4fba0693722ff72",39
"62bada92866dafa9d188ea8f","634c27bec4fba0693722ff72",40
"62badf44866dafe43f88eac6","634c27bec4fba0693722ff72",41
"63295ef6e176fb9ebbdb6acd","62dbd25b9670f2007f7c650b",42
"63295ef6e176fb6dd7db6acf","6295c22bacf828490b7c64e7",43
"63295ef7e176fb7e66db6ad5","6295c22bacf828490b7c64e7",44
"63295ef7e176fb62a6db6ae0","6295c22bacf828490b7c64e7",45
"63295ef7e176fb82bbdb6ae7","6295c22bacf828490b7c64e7",46
"63295ef7e176fb0140db6aeb","6295c22bacf828490b7c64e7",47
"63295ef7e176fb29a3db6af3","6295c22bacf828490b7c64e7",48
"63295ef7e176fb051bdb6af5","632046856e5b84f81e625d09",49
"63295ef7e176fbfe8fdb6afe","632046856e5b84f81e625d09",50
"63295ef7e176fb3ea3db6b06","62dbd8ab9670f2007f7d3f22",51
"63295ef7e176fb5cafdb6b0c","628cb023c3ccbfbb1d5f410e",52
"63295ef7e176fb3975db6b0f","62d7e395ec76434350c3b45c",53
"628f4dca2ed244a8be8571bf","632addca2288e03aecdffa2f",54
"628cdeb22ed2443240856326","62f1f6ceef7ba090e9522392",55
"628f826a2ed244aa038575cd","62f1f6ceef7ba090e9522392",56
"6299a9bc3dd3980591fd0285","636a0b8d8be0ce41c6a2ce7d",57
"63295ef6e176fb78a0db6ac2","636a0b8d8be0ce41c6a2ce7d",58
"63295ef6e176fb31cedb6ac6","636a0b8d8be0ce41c6a2ce7d",59
"63295ef7e176fb040edb6ad9","636a0b8d8be0ce41c6a2ce7d",60
"63295ef7e176fb9849db6ae6","636a0b8d8be0ce41c6a2ce7d",61
"63295ef7e176fb6d98db6aef","636a0b8d8be0ce41c6a2ce7d",62
"63295ef7e176fb57fedb6afc","636a0b8d8be0ce41c6a2ce7d",63
"63295ef7e176fb1c1adb6b01","636a0b8d8be0ce41c6a2ce7d",64
"63295ef7e176fbcf52db6b08","636a0b8d8be0ce41c6a2ce7d",65
"63295ef7e176fb5024db6b11","636a0b8d8be0ce41c6a2ce7d",66
